,Price
0,"[39810, 39734, 39729, 39639, 39682, 39730, 39700, 39746, 39714, 39710, 39725, 39708, 39733, 39747, 39768, 39842, 39926, 40296, 40457, 40517, 40432, 40556, 40624, 40583, 40475, 40439, 40394, 40488, 40460, 40451, 40588, 40583, 40545, 40562, 40610, 40662, 40705, 40587, 40661, 40578, 40628, 40600, 40599, 40586, 40501, 40546, 40605, 40594, 40587, 40595, 40582, 40616, 40698, 40715, 40673, 40719, 40842, 40759, 40828, 40824]"
1,"[40588, 40583, 40545, 40562, 40610, 40662, 40705, 40587, 40661, 40578, 40628, 40600, 40599, 40586, 40501, 40546, 40605, 40594, 40587, 40595, 40582, 40616, 40698, 40715, 40673, 40719, 40842, 40759, 40828, 40824, 40854, 40891, 40955, 41193, 41225, 41042, 40961, 40873, 40850, 40834, 40760, 40840, 40863, 40908, 40877, 40880, 40880, 40937, 40998, 41019, 41029, 41013, 41021, 41155, 41192, 41187, 41288, 41220, 41212, 41159]"
2,"[40854, 40891, 40955, 41193, 41225, 41042, 40961, 40873, 40850, 40834, 40760, 40840, 40863, 40908, 40877, 40880, 40880, 40937, 40998, 41019, 41029, 41013, 41021, 41155, 41192, 41187, 41288, 41220, 41212, 41159, 41157, 41103, 41117, 41059, 41053, 41048, 41071, 41088, 41068, 41099, 41140, 41230, 41190, 41165, 41112, 41079, 41027, 40939, 40950, 40957, 40893, 40888, 40930, 41018, 40970, 41008, 41026, 41028, 41011, 41010]"
3,"[41157, 41103, 41117, 41059, 41053, 41048, 41071, 41088, 41068, 41099, 41140, 41230, 41190, 41165, 41112, 41079, 41027, 40939, 40950, 40957, 40893, 40888, 40930, 41018, 40970, 41008, 41026, 41028, 41011, 41010, 41009, 41046, 41061, 41042, 40978, 40905, 40913, 40909, 40877, 40852, 40851, 40919, 40898, 40919, 40891, 40830, 40786, 40847, 40936, 40942, 40984, 40981, 40964, 40862, 40868, 40877, 40914, 40904, 40913, 40913]"
4,"[41009, 41046, 41061, 41042, 40978, 40905, 40913, 40909, 40877, 40852, 40851, 40919, 40898, 40919, 40891, 40830, 40786, 40847, 40936, 40942, 40984, 40981, 40964, 40862, 40868, 40877, 40914, 40904, 40913, 40913, 40944, 40980, 40926, 40920, 40905, 40962, 40922, 40895, 40903, 40905, 40883, 40888, 40906, 40891, 40879, 40866, 40852, 40834, 40864, 40912, 40946, 40961, 40968, 40976, 40984, 41057, 41140, 41248, 41316, 41425]"
5,"[40944, 40980, 40926, 40920, 40905, 40962, 40922, 40895, 40903, 40905, 40883, 40888, 40906, 40891, 40879, 40866, 40852, 40834, 40864, 40912, 40946, 40961, 40968, 40976, 40984, 41057, 41140, 41248, 41316, 41425, 41400, 41424, 41412, 41358, 41351, 41319, 41346, 41342, 41341, 41306, 41312, 41327, 41368, 41350, 41314, 41280, 41258, 41221, 41179, 41159, 41185, 41190, 41189, 41185, 41232, 41173, 41220, 41209, 41183, 41170]"
6,"[41400, 41424, 41412, 41358, 41351, 41319, 41346, 41342, 41341, 41306, 41312, 41327, 41368, 41350, 41314, 41280, 41258, 41221, 41179, 41159, 41185, 41190, 41189, 41185, 41232, 41173, 41220, 41209, 41183, 41170, 41167, 41166, 41156, 41158, 41183, 41183, 41213, 41192, 41252, 41157, 41081, 41093, 41087, 41125, 41133, 41128, 41152, 41160, 41166, 41180, 41172, 41210, 41206, 41214, 41202, 41212, 41220, 41220, 41172, 41204]"
7,"[41167, 41166, 41156, 41158, 41183, 41183, 41213, 41192, 41252, 41157, 41081, 41093, 41087, 41125, 41133, 41128, 41152, 41160, 41166, 41180, 41172, 41210, 41206, 41214, 41202, 41212, 41220, 41220, 41172, 41204, 41161, 41142, 41132, 41089, 41056, 41056, 41080, 41090, 41024, 41058, 41158, 41192, 41150, 41171, 41180, 41236, 41193, 41198, 41221, 41235, 41194, 41213, 41185, 41153, 41125, 41159, 41150, 41126, 41109, 41143]"
8,"[41161, 41142, 41132, 41089, 41056, 41056, 41080, 41090, 41024, 41058, 41158, 41192, 41150, 41171, 41180, 41236, 41193, 41198, 41221, 41235, 41194, 41213, 41185, 41153, 41125, 41159, 41150, 41126, 41109, 41143, 41189, 41209, 41187, 41184, 41170, 41211, 41224, 41212, 41214, 41190, 41219, 41235, 41250, 41282, 41285, 41316, 41322, 41255, 41205, 41206, 41229, 41218, 41241, 41260, 41270, 41300, 41339, 41366, 41344, 41329]"
9,"[41189, 41209, 41187, 41184, 41170, 41211, 41224, 41212, 41214, 41190, 41219, 41235, 41250, 41282, 41285, 41316, 41322, 41255, 41205, 41206, 41229, 41218, 41241, 41260, 41270, 41300, 41339, 41366, 41344, 41329, 41340, 41331, 41312, 41500, 41460, 41337, 41307, 41355, 41422, 41436, 41409, 41409, 41361, 41425, 41401, 41366, 41388, 41376, 41432, 41443, 41536, 41684, 41695, 41658, 41641, 41625, 41627, 41681, 41696, 41670]"
